English1,M1,Physics,CP,EVS,Mechanics,English2,M2,PEM,Engg.Drawing,MEFA,CPP,DS,MFCS,DLD,Prob_Stat,Java,ADS,CO,FLAT,CD,Data_communication,PPL,DBMS,OS,Placed_Status
64,69,46,64,61,56,60,77,66,68,48,70,58,32,66,38,57,63,48,65,60,69,61,71,60,0
69,45,59,59,60,64,60,67,68,44,68,63,56,66,59,71,59,63,68,70,70,59,80,74,67,0
74,57,28,69,84,81,72,62,68,75,60,64,61,58,46,68,64,62,52,61,41,61,70,63,24,1
84,47,49,73,57,35,51,48,36,62,26,52,48,45,24,39,47,51,34,35,44,29,61,36,63,0
70,81,50,75,85,71,76,79,82,69,66,79,74,77,81,66,86,68,84,80,77,84,81,76,52,1
64,74,55,67,69,84,58,77,60,61,57,81,63,70,58,72,54,65,56,72,73,64,72,79,70,0
57,87,72,84,97,77,68,87,73,99,73,75,88,78,74,99,74,83,77,76,53,73,85,80,51,0
84,88,90,95,81,82,79,71,90,80,74,91,70,75,98,94,82,93,89,87,95,88,80,100,76,1
74,84,52,62,89,71,71,72,82,84,72,82,77,94,86,83,81,76,76,94,74,91,93,93,33,1
61,29,40,48,66,49,56,58,58,36,62,51,56,50,51,72,50,58,56,67,59,39,61,67,50,0
57,17,24,58,92,42,53,22,63,37,61,44,75,57,31,30,48,50,54,54,34,56,67,62,51,0
77,85,70,91,75,75,72,77,74,67,68,81,66,68,91,95,59,83,83,66,72,53,73,66,64,1
79,62,58,73,87,70,75,74,74,65,61,56,50,70,76,63,83,69,63,78,64,79,82,77,55,1
72,62,61,57,69,59,69,74,66,63,67,90,73,70,70,71,68,66,68,98,72,68,58,76,56,1
82,30,56,65,78,48,63,33,67,77,47,40,64,68,43,55,30,56,61,52,31,68,62,68,19,0
47,13,9,11,53,8,35,17,59,18,20,13,48,19,10,13,15,22,16,7,8,21,40,18,64,0
33,57,53,65,79,59,65,66,81,63,67,68,73,95,70,58,71,71,80,79,76,79,91,83,64,0
82,78,68,79,71,76,68,90,73,61,75,96,68,84,80,82,75,81,95,93,82,81,81,88,51,1
54,23,13,54,76,15,49,40,51,56,11,25,50,52,26,30,30,33,21,31,48,45,51,32,62,0
74,76,81,65,77,84,67,57,88,68,75,80,69,86,73,89,61,91,68,63,76,72,74,71,53,1
81,28,45,51,69,53,63,54,75,57,55,42,55,55,65,33,56,64,60,63,54,76,79,66,57,0
74,51,75,70,72,81,74,64,67,62,51,53,70,70,76,80,68,67,82,83,82,77,81,77,65,0
84,77,31,64,80,61,75,67,62,71,54,65,82,84,50,87,53,74,53,71,68,62,65,66,52,1
75,59,57,60,76,51,71,66,82,67,77,81,63,56,82,81,63,81,77,62,70,62,68,77,30,0
63,42,18,47,84,43,48,31,60,52,46,53,46,52,54,32,48,57,57,62,31,70,62,55,55,0
82,80,89,83,80,95,68,86,67,66,69,84,80,96,79,86,63,81,87,92,70,59,75,75,55,1
45,62,55,60,76,54,59,55,65,65,66,61,83,72,52,70,59,59,61,67,56,57,65,62,40,0
73,22,57,63,81,69,76,55,80,27,77,79,63,59,81,66,65,78,70,67,72,66,68,76,25,1
54,15,16,40,51,26,45,30,57,47,40,31,36,40,42,20,30,49,49,32,25,55,52,43,61,0
82,82,63,78,78,91,69,86,74,63,73,84,77,93,70,80,63,75,75,83,81,56,69,80,46,1
50,27,19,49,85,29,55,48,50,51,52,47,73,54,33,32,40,56,49,55,36,55,42,48,41,0
52,19,22,50,59,24,52,36,68,49,54,57,61,65,52,64,42,74,68,26,78,59,71,52,60,0
82,69,52,83,99,67,66,81,81,77,74,73,73,83,87,73,79,77,78,88,68,73,83,86,57,0
75,61,60,56,72,65,68,71,81,36,72,74,67,70,71,68,56,71,67,65,63,40,60,80,67,0
64,83,62,64,79,58,67,76,62,64,71,85,87,75,65,79,62,62,73,69,59,58,69,77,45,1
71,45,45,63,70,40,55,30,53,53,42,55,49,54,20,21,29,51,58,44,51,34,59,46,38,0
65,27,40,64,57,49,56,56,55,51,44,59,53,44,58,28,57,49,28,41,35,50,66,33,50,0
47,26,16,64,86,23,46,35,46,34,56,44,52,63,46,69,45,49,50,38,54,34,70,48,76,0
88,98,81,99,94,96,80,81,91,81,79,83,77,97,99,100,70,83,78,77,70,63,86,82,46,1
85,75,49,69,95,63,67,70,82,65,77,81,77,73,70,91,75,86,63,75,78,67,74,77,59,1
55,46,61,54,64,66,62,50,51,36,67,59,68,54,63,45,80,66,67,60,52,66,88,65,55,0
68,49,43,60,89,32,48,46,62,36,48,50,51,61,44,66,50,49,35,64,61,46,66,64,71,0
72,98,66,86,84,89,61,73,80,57,58,88,68,94,73,92,60,77,72,62,55,49,63,61,54,1
70,63,45,66,85,58,58,79,69,56,55,65,74,73,68,68,68,72,68,58,76,70,70,83,32,0
62,14,40,45,55,52,48,42,45,27,61,26,44,47,40,25,48,53,64,57,43,46,64,62,66,0
82,90,68,82,81,86,74,82,71,96,82,73,99,86,67,82,68,80,89,100,98,71,87,71,68,1
66,48,32,70,76,75,60,57,72,50,58,55,55,75,50,73,37,58,67,64,54,50,63,66,60,0
67,49,44,51,95,43,81,69,72,53,67,54,70,73,59,67,62,75,71,34,94,59,73,59,45,0
64,45,49,55,47,9,45,23,38,20,27,62,45,74,40,26,49,40,17,40,28,49,25,43,61,0
83,76,66,80,74,78,73,81,68,70,81,82,89,76,71,73,72,79,84,90,90,68,78,75,52,1
74,53,43,72,63,45,61,45,61,51,44,65,56,78,21,31,63,50,60,43,55,48,45,60,56,0
68,56,47,74,98,56,57,66,71,53,67,70,79,69,70,64,54,67,62,68,80,76,71,77,48,0
64,21,19,41,53,42,54,40,49,23,32,27,23,48,44,29,46,47,32,40,52,35,56,46,51,0
58,59,40,63,57,55,50,40,71,58,66,54,83,62,60,75,52,72,49,65,59,60,59,69,36,0
54,15,11,26,61,13,50,25,68,22,56,51,47,40,14,17,32,40,26,42,24,41,19,43,45,0
79,29,43,65,89,52,58,53,53,53,59,60,62,58,62,50,38,58,70,60,58,60,66,50,64,1
84,70,61,75,59,72,75,64,63,70,67,53,94,79,56,69,70,67,63,74,71,66,73,79,50,1
69,76,41,94,81,47,66,67,74,56,64,63,63,80,66,75,71,60,51,58,71,59,70,59,47,1
51,24,40,47,87,50,66,34,71,34,54,34,41,24,35,21,30,34,62,53,28,44,33,55,56,0
78,65,57,65,70,71,62,72,66,65,59,74,67,72,83,67,75,73,85,80,87,64,68,73,30,0
